"","match_id","home_team","away_team","home_score","away_score","i_home","i_away"
"1","1","France","England",26,24,1,5
"2","2","Ireland","Scotland",28,6,2,3
"3","3","Ireland","Wales",26,3,2,0
"4","4","Scotland","England",0,20,3,5
"5","5","France","Italy",30,10,1,4
"6","6","Wales","France",27,6,0,1
"7","7","Italy","Scotland",20,21,4,3
"8","8","England","Ireland",13,10,5,2
"9","9","Ireland","Italy",46,7,2,4
"10","10","Scotland","France",17,19,3,1
"11","11","England","Wales",29,18,5,0
"12","12","Italy","England",11,52,4,5
"13","13","Wales","Scotland",51,3,0,3
"14","14","France","Ireland",20,22,1,2
"15","15","Wales","England",16,21,0,5
"16","16","Italy","Ireland",3,26,4,2
"17","17","France","Scotland",15,8,1,3
"18","18","England","Italy",47,17,5,4
"19","19","Ireland","France",18,11,2,1
"20","20","Scotland","Wales",23,26,3,0
"21","21","Scotland","Italy",19,22,3,4
"22","22","France","Wales",13,20,1,0
"23","23","Ireland","England",19,9,2,5
"24","24","Wales","Ireland",23,16,0,2
"25","25","England","Scotland",25,13,5,3
"26","26","Italy","France",0,29,4,1
"27","27","Italy","Wales",20,61,4,0
"28","28","Scotland","Ireland",10,40,3,2
"29","29","England","France",55,35,5,1
"30","30","France","Italy",23,21,1,4
"31","31","Scotland","England",9,15,3,5
"32","32","Ireland","Wales",16,16,2,0
"33","33","France","Ireland",10,9,1,2
"34","34","Wales","Scotland",27,23,0,3
"35","35","Italy","England",9,40,4,5
"36","36","Wales","France",19,10,0,1
"37","37","Italy","Scotland",20,36,4,3
"38","38","England","Ireland",21,10,5,2
"39","39","Ireland","Italy",58,15,2,4
"40","40","England","Wales",25,21,5,0
"41","41","Scotland","France",29,18,3,1
"42","42","Wales","Italy",67,14,0,4
"43","43","Ireland","Scotland",35,25,2,3
"44","44","France","England",21,31,1,5
"45","45","Scotland","Ireland",27,22,3,2
"46","46","England","France",19,16,5,1
"47","47","Italy","Wales",7,33,4,0
"48","48","Italy","Ireland",10,63,4,2
"49","49","Wales","England",16,21,0,5
"50","50","France","Scotland",22,16,1,3
"51","51","Scotland","Wales",29,13,3,0
"52","52","Ireland","France",19,9,2,1
"53","53","England","Italy",36,15,5,4
"54","54","Wales","Ireland",22,9,0,2
"55","55","Italy","France",18,40,4,1
"56","56","England","Scotland",61,21,5,3
"57","57","Scotland","Italy",29,0,3,4
"58","58","France","Wales",20,18,1,0
"59","59","Ireland","England",13,9,2,5
"60","60","Wales","Italy",23,15,0,4
